L_NAME,PRICE,MYEAR,MILEAGE,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,TRANS_CVT,TRANS_SAT,TRANS_기타,TRANS_수동,TRANS_오토,F_TYPE_CNG,F_TYPE_LPG,F_TYPE_가솔린,F_TYPE_가솔린+LPG,F_TYPE_기타,F_TYPE_디젤,F_TYPE_전기,F_TYPE_하이브리드,F_TYPE_하이브리드(LPG),F_TYPE_하이브리드(가솔린)
한국GM 스파크,0.61247045,0.12281875,0.038315244,0,0,0,0,0.03724985,0.026887357,0.0035841363,0,0.0822618,0.05205729,0,0.02435508,0,0,0,0,0,0,0,0,0
한국GM 트랙스,0.74184465,0.09032509,0.029879246,0,0,0,0,0.03435639,0,0,0,0.041176554,0,0,0,0.062418073,0,0,0,0,0,0,0,0
한국GM 크루즈,0.42543763,0.09062623,0.06336515,0,0,0,0,0.103489585,0,0,0,0.0037648086,0,0,0,0.31331664,0,0,0,0,0,0,0,0
한국GM 캡티바,0.7986048,0.100328945,0.0030063798,0,0,0,0,0.09805987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 말리부,0.6147016,0.10504355,0.020592831,0,0,0,0,0.02121327,0.038749143,0,0,0,0,0,0.102230795,0.028081523,0,0,0.02736691,0,0,0,0.04202045,0
한국GM 볼트,0.8040847,0.043319836,0.00079401565,0,0,0,0,0.03861169,0,0,0,0,0,0,0,0,0,0,0,0.11318971,0,0,0,0
한국GM 마티즈,0.2396417,0.1355322,0.18145286,0,0,0,0,0.2240748,0,0,0,0.17051074,0,0,0.048787706,0,0,0,0,0,0,0,0,0
한국GM 아베오,0.5756882,0.1273745,0.02868571,0,0,0,0,0.12789454,0,0,0,0.14035708,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 올란도,0.17394948,0.19558737,0.11232065,0,0,0,0,0.060177606,0,0,0,0.00072158594,0,0,0.45724326,0,0,0,0,0,0,0,0,0
한국GM 라세티,0.10276371,0.27972418,0.017492875,0,0,0,0,0.29085004,0,0,0,0.009594572,0,0,0,0.29957458,0,0,0,0,0,0,0,0
한국GM 임팔라,0.2576251,0.6043115,0.0021480904,0,0,0,0,0.1359153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 트레,0.17598529,0.23182166,0.31980196,0,0,0,0,0.078944795,0.19344632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 카마로,0.5531153,0.13353093,0,0,0,0,0,0.31335375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 트래버스,0.13896029,0.42939636,0.23119612,0,0,0,0,0.20044722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW X2,0.22796033,0.05446301,0.04593787,0,0,0,0,0.014063477,0,0,7.29E-05,0.0025099078,0,0,0.00024121228,0.13372782,0,0,0.23545638,0.101449855,0,0,0.18411721,0
한국GM 알페온,0.29705748,0.072554365,0.36290336,0,0,0,0,0.13518153,0,0,0,0,0,0,0,0.13230324,0,0,0,0,0,0,0,0
한국GM 다마스,0.40540785,0.099543914,0.18682633,0,0,0,0,0.036062542,0,0.15625595,0,0.06791197,0.047991518,0,0,0,0,0,0,0,0,0,0,0
한국GM 콜로라도,0.82714325,0.061720986,0,0,0,0,0,0.11113576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국GM 라보,0.46245465,0.384968,0.051675335,0,0,0,0,0.040328145,0,0.014459179,0,0.03200272,0.014112031,0,0,0,0,0,0,0,0,0,0,0
한국GM 윈스톰,0.20579608,0.3387986,0,0,0,0,0,0.45540532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW X4,0.19758502,0.04694491,0.06983469,0,0,0,0,0.037107155,0,0,0,0.016664334,0,0,0.10136661,0.048243463,0,0,0.25939453,0,0,0,0.108814396,0.11404495
현대 코나,0.3229711,0.08782102,0.088846244,0,0,0,0,0.114186876,0,0,0,0.008970903,0,0,0.029712321,0.17599608,0,1.06E-05,0.040367853,0.088115595,0,0,0.043001387,0
현대 그랜저,0.43081212,0.1369723,0.012480101,0,0,0,0,0.014014333,0,0,0.0002675285,0.08101986,0.034057856,0,0.009901274,0.01940323,0,0.0014051705,0.07944801,0.014664949,0,0,0.16555326,0
현대 쏘나타,0.6325314,0.058515448,0.0933988,0,0,0,0,0.040966704,0,0,0,0.004946476,0,0,0.06815513,0.04422426,0,0,0.025511596,0.0020374178,0,0,0.029712792,0
현대 스타리아,0.5935365,0.1847647,0.05568192,0,0,0,0,0.081684604,0,0,0,0.006741649,0,0,0.07759065,0,0,0,0,0,0,0,0,0
현대 스타렉스,0.4787246,0.08086294,0.07040236,0,0,0,0,0.09005977,0,0,0,0.022794299,0,0,0.10345045,0.09744417,0,0,0.055929057,0,0,0,0.00033234965,0
현대 싼타페,0.33554915,0.020684466,0.020823445,0,0,0,0,0.020311086,0.35571796,0,0,0.077418946,0.0071668564,0,0.003841378,0.020623183,0,0,0.03729014,0.030692652,0,0,0.06988072,0
현대 포터,0.31889743,0.077255465,0.012708096,0,0,0,0,0.030582458,0.0040506157,0,0,0.06039467,0.15856405,0,0.0044401987,0.10796909,0,0.015886428,0.085915715,0.08890747,0,0,0.03442831,0
현대 에쿠스,0.7163641,0.19107755,0.06646931,0,0,0,0,0.018731155,0,0,0,0,0,0,0,0,0,0,0.007357904,0,0,0,0,0
현대 마이티,0.34931704,0.068474606,0.04428982,0,0,0,0,0.073341176,0,0,0,0.46457738,0,0,0,0,0,0,0,0,0,0,0,0
현대 아반떼,0.34553725,0.05100306,0.033060268,0,0,0,0,0.021075005,0.044489775,0,0,0.10440416,0.0069765267,0,0.006108147,0.09698538,0,0,0.16645035,0.08045606,0,0,0.043454103,0
BMW i4,0.41452637,0.033485897,0.15356514,0,0,0,0,0.00025174956,0.39420795,0,0,0,0,0,0,0.00034609422,0,0,0,0.0036055148,0,0,1.13E-05,0
현대 펠리세이드,0.2599777,0.040431995,0.046093214,0,0,0,0,0.017378625,0.11195007,0,0,0.035790365,0.30235192,0,0.05086081,0.013527507,0,0,0.06538738,0.021715594,0,0,0.03453478,0
현대 엑센트,0.96796894,0.016833752,0.0015398837,0,0,0,0,0.008217231,1.81E-06,0,0,0,0,0,0,0.004543239,0,0,0.00089505076,0,0,0,0,0
현대 제네시스,0.5543912,0.12638517,0.016236817,0,0,0,0,0.0117321415,0,0,0,0,0,0,0.28858268,0.00072365964,0.0019482364,0,0,0,0,0,0,0
현대 투싼,0.28649902,0.0521416,0.04623952,0,0,0,0,0.063130215,0.29438034,0,0,0.0052359253,0.01358034,0,0.005813456,0.05191301,0,0,0.0822236,0,0,0,0.09884292,0
기아 레이,0.072755605,0.018086324,0.016817525,0,0,0,0,0.012985928,0.03300716,0,0,0.09304382,0.0022498863,0,0.01606424,0.5506352,0.00045151263,0,0.13060775,0,0,0,0.053295005,0
BMW i3,0.13752963,0.4063898,0.0007311364,0,0,0,0,0.07378546,0,0,0,0,0,0,0,0.00079896516,0,0,0.00059686974,0.38016814,0,0,0,0
현대 벨로스터,0.13744509,0.6582753,0.005605017,0,0,0,0,0.0045898645,0,0,0,0.014170137,0,0,0,0.17991462,0,0,0,0,0,0,0,0
BMW X5,0.5582987,0.06862463,0.03539407,0,0,0,0,0.013817007,0,0,0,0,0,0,0,0.034206945,0,0,0.0120586185,0.0075629437,0,0,0.083552934,0.18648419
